버스정류장ARS번호,역명,주소,아침,점심,오후,저녁
10314,창번2교앞,도봉구,1164,408,1714,1913
10315,대우아파트104동,도봉구,12437,2994,10177,8340
10317,도봉산입구,도봉구,8708,3476,4366,1303
10320,샘말어린이공원,도봉구,581,343,1659,2234
10321,안방학동,도봉구,4684,1051,3355,2597
10325,동아운수앞,강북구,3695,1804,5407,4212
10330,창동.신창시장,도봉구,15151,6932,21560,12951
10331,신창.창동시장,도봉구,11339,5536,16718,9192
10657,창동고등학교,도봉구,1735,428,1880,868
10735,서원아파트,도봉구,2283,939,2810,1636
10740,서울문화고등학교,도봉구,3225,1453,3907,3168
10334,안방학동,도봉구,5206,1731,5229,5147
10336,태영데시앙아파트,도봉구,1938,969,3662,3326
10337,방학중학교,도봉구,1489,593,2386,2338
10335,창동농협물류센터,도봉구,8659,2491,5713,1291
10340,도봉산역광역환승센터,도봉구,3553,640,2689,875
10105,녹천역,도봉구,1841,657,2349,1451
10341,도봉산역광역환승센터,도봉구,2052,755,3583,3700
10713,북한산아이파크,도봉구,5122,2277,5267,2107
10808,방학중학교,도봉구,2574,570,1310,397
10831,한신아파트정문,도봉구,205,116,530,534
10510,용호약국,도봉구,763,155,476,224
10509,한일병원입구,도봉구,5916,1379,4129,1456
10511,에덴약국,도봉구,3077,508,1013,315
10506,법종사,도봉구,219,64,209,41
10502,도봉여성센터,도봉구,3772,807,3039,1969
10504,동익아파트,도봉구,8400,2186,6016,5204
10838,법종사,도봉구,107,94,331,113
10836,환승장.기숙사,도봉구,1961,937,3865,4983
10834,약초원.동아슈퍼,도봉구,4121,1041,2293,741
10822,서울북부지방법원,도봉구,413,184,566,187
10821,서울문화고등학교,도봉구,3565,780,2600,900
10819,대상타운현대아파트,도봉구,3119,838,2423,1000
10818,삼환.동아에코빌아파트,도봉구,2365,832,2001,563
10817,방학삼성래미안1단지아파트,도봉구,1232,626,2180,783
10814,극동유원아파트후문,도봉구,926,301,678,347
10813,도봉중학교.서원아파트,도봉구,2526,655,1874,453
10812,도봉파크빌2단지앞,도봉구,1242,380,1401,894
10810,누원고등학교.한신아파트정문,도봉구,1581,553,2138,622
10809,오봉초등학교,도봉구,554,200,339,87
10807,시온슈퍼,도봉구,251,113,191,81
10806,방학동극동아파트.방학동천주교성당,도봉구,2088,794,2283,2059
10805,부부슈퍼,도봉구,152,57,107,36
10803,삼거리슈퍼,도봉구,105,51,100,35
10802,도봉파크빌3단지,도봉구,111,46,144,130
10800,성황당,도봉구,331,142,463,75
10799,도봉산역,도봉구,13407,3579,13355,13284
10798,신동아아파트16동,도봉구,642,329,2046,2965
10792,북서울중학교,도봉구,251,84,238,19
