호선명	자치구	지하철역	07시-08시	08시-09시	09시-10시	10시-11시	11시-12시	12시-13시	13시-14시	14시-15시	15시-16시	16시-17시	17시-18시	18시-19시	19시-20시	20시-21시	21시-22시	22시-23시	23시-24시
9호선	서초구	신반포	12629	15544	9716	7211	6454	7477	9018	8469	10368	15057	15555	16688	10334	6326	5786	5941	1905
9호선	강서구	신방화	32119	36795	19275	14641	14199	16395	16731	15242	18645	20634	22594	33184	25440	15722	13613	13639	6040
9호선	양천구	양천향교	39134	66517	31529	19315	18979	21317	20455	21423	21438	25889	35123	57926	36665	22663	19494	20497	8915
9호선	영등포구	여의도	135133	164149	73893	40249	45540	44994	52592	53369	57023	69963	147884	175884	83563	61829	52727	38114	5995
9호선	양천구	염창	82709	102744	51760	33575	30044	33907	33679	31874	36042	41479	60193	93136	73868	45561	39060	42833	16602
9호선	강서구	증미	29177	54631	22011	14919	13804	15083	15942	15651	18280	19443	25751	49308	26355	14530	12728	11401	4846
9호선	동작구	흑석	26628	35573	24367	19979	18071	20049	21297	20222	23075	26815	35288	40200	25745	18172	16822	18632	6203
9호선2~3단계	송파구	둔촌오륜	7514	6542	2931	1949	2153	2042	2366	2378	2652	6139	4648	4816	3112	1862	1585	1724	717
9호선2~3단계	강남구	봉은사	41618	100301	68297	33105	31965	33247	37027	37654	37191	43882	69156	102469	52921	33032	30827	24161	4067
9호선2~3단계	강남구	삼성중앙	18679	45621	33537	15894	11087	11874	13962	13229	14604	16571	29004	48349	22876	13326	12365	11080	2881
9호선2~3단계	송파구	삼전	22666	38381	24509	14062	12758	13688	14440	14456	14501	17873	23874	34649	26729	16391	15162	16781	7296
9호선2~3단계	송파구	석촌	27215	38405	28503	17577	16900	17699	19228	18014	19158	23374	28743	40709	30560	19326	20017	20847	5614
9호선2~3단계	송파구	석촌고분	19270	36097	23806	12923	11530	12805	13300	12421	13949	16546	20318	33133	22574	14798	13464	13872	5296
9호선2~3단계	강남구	선정릉	24770	66943	51749	24033	17840	17985	20166	20489	20825	25018	36982	64440	37793	20130	19559	19058	3648
9호선2~3단계	송파구	송파나루	14713	24427	17121	9592	11023	11214	13060	11476	12368	14916	18830	29422	20930	11676	12343	11954	3807
9호선2~3단계	강남구	언주	24539	66003	47307	25876	19498	20902	22500	22666	23520	27652	43278	64465	33053	18523	17605	16269	4437
9호선2~3단계	송파구	올림픽공원	19645	28523	18389	12753	12067	13994	14475	14748	15852	19075	24559	32778	20691	13983	12302	13479	3977
9호선2~3단계	송파구	종합운동장	13895	20583	13835	8414	8319	9395	10183	9799	10509	12319	18067	25609	16226	10344	10362	11024	2824
9호선2~3단계	강동구	중앙보훈병원	46825	54086	34934	28224	23186	22811	22299	24153	25115	23957	31582	37284	26400	14816	14354	16013	4698
9호선2~3단계	송파구	한성백제	8336	13142	8236	5342	5298	5453	5890	6306	6334	8112	9145	13473	8638	5459	4922	4821	1821
