구,업종,수
용산구,물품기기대여,19
성동구,물품기기대여,23
광진구,물품기기대여,56
동대문구,물품기기대여,23
중랑구,물품기기대여,21
성북구,물품기기대여,19
강북구,물품기기대여,9
도봉구,물품기기대여,12
노원구,물품기기대여,25
은평구,물품기기대여,11
서대문구,물품기기대여,17
마포구,물품기기대여,24
양천구,물품기기대여,19
강서구,물품기기대여,32
구로구,물품기기대여,30
금천구,물품기기대여,23
영등포구,물품기기대여,38
동작구,물품기기대여,14
관악구,물품기기대여,28
서초구,물품기기대여,59
강남구,물품기기대여,105
송파구,물품기기대여,38
강동구,물품기기대여,27
종로구,법무세무회계,8
중구,법무세무회계,2
용산구,법무세무회계,5
성동구,법무세무회계,2
광진구,법무세무회계,3
동대문구,법무세무회계,3
중랑구,법무세무회계,0
성북구,법무세무회계,2
강북구,법무세무회계,0
도봉구,법무세무회계,0
노원구,법무세무회계,1
은평구,법무세무회계,3
서대문구,법무세무회계,1
마포구,법무세무회계,6
양천구,법무세무회계,4
강서구,법무세무회계,2
구로구,법무세무회계,3
금천구,법무세무회계,2
영등포구,법무세무회계,12
동작구,법무세무회계,2
관악구,법무세무회계,2
서초구,법무세무회계,148
강남구,법무세무회계,48
송파구,법무세무회계,5
강동구,법무세무회계,3
종로구,개인서비스,41
중구,개인서비스,43
용산구,개인서비스,11
성동구,개인서비스,13
광진구,개인서비스,39
동대문구,개인서비스,10
중랑구,개인서비스,18
성북구,개인서비스,29
강북구,개인서비스,10
도봉구,개인서비스,13
노원구,개인서비스,14
은평구,개인서비스,13
서대문구,개인서비스,16
마포구,개인서비스,31
양천구,개인서비스,13
강서구,개인서비스,27
구로구,개인서비스,26
금천구,개인서비스,17
영등포구,개인서비스,31
동작구,개인서비스,13
관악구,개인서비스,68
서초구,개인서비스,35
강남구,개인서비스,102
송파구,개인서비스,42
강동구,개인서비스,34
종로구,인력/고용/용역알선,37
중구,인력/고용/용역알선,46
용산구,인력/고용/용역알선,14
성동구,인력/고용/용역알선,28
광진구,인력/고용/용역알선,65
동대문구,인력/고용/용역알선,19
중랑구,인력/고용/용역알선,39
성북구,인력/고용/용역알선,22
강북구,인력/고용/용역알선,13
도봉구,인력/고용/용역알선,16
노원구,인력/고용/용역알선,16
은평구,인력/고용/용역알선,30
서대문구,인력/고용/용역알선,21
마포구,인력/고용/용역알선,27
양천구,인력/고용/용역알선,21
강서구,인력/고용/용역알선,41
구로구,인력/고용/용역알선,51
금천구,인력/고용/용역알선,25
영등포구,인력/고용/용역알선,89
동작구,인력/고용/용역알선,13
관악구,인력/고용/용역알선,44
서초구,인력/고용/용역알선,72
강남구,인력/고용/용역알선,128
송파구,인력/고용/용역알선,37
강동구,인력/고용/용역알선,47
종로구,대행업,36
중구,대행업,35
용산구,대행업,22
성동구,대행업,8
광진구,대행업,13
동대문구,대행업,12
중랑구,대행업,3
성북구,대행업,18
강북구,대행업,3
도봉구,대행업,3
노원구,대행업,12
은평구,대행업,4
서대문구,대행업,17
마포구,대행업,15
양천구,대행업,22
강서구,대행업,14
구로구,대행업,5
금천구,대행업,8
영등포구,대행업,16
동작구,대행업,5
관악구,대행업,8
서초구,대행업,83
강남구,대행업,127
송파구,대행업,9
강동구,대행업,6
종로구,사진,55
중구,사진,91
용산구,사진,60
성동구,사진,49
광진구,사진,90
동대문구,사진,37
중랑구,사진,35
성북구,사진,59
강북구,사진,24
도봉구,사진,20
노원구,사진,47
은평구,사진,43
서대문구,사진,57
마포구,사진,114
양천구,사진,37
강서구,사진,73
구로구,사진,45
금천구,사진,21
영등포구,사진,60
동작구,사진,32
관악구,사진,48
서초구,사진,116
강남구,사진,367
송파구,사진,74
강동구,사진,52
종로구,행사/이벤트,14
중구,행사/이벤트,14
용산구,행사/이벤트,22
성동구,행사/이벤트,23
광진구,행사/이벤트,28
동대문구,행사/이벤트,5
중랑구,행사/이벤트,9
성북구,행사/이벤트,8
강북구,행사/이벤트,3
도봉구,행사/이벤트,8
노원구,행사/이벤트,6
은평구,행사/이벤트,11
서대문구,행사/이벤트,16
마포구,행사/이벤트,34
양천구,행사/이벤트,9
강서구,행사/이벤트,20
구로구,행사/이벤트,13
금천구,행사/이벤트,11
영등포구,행사/이벤트,30
동작구,행사/이벤트,11
관악구,행사/이벤트,13
서초구,행사/이벤트,48
강남구,행사/이벤트,173
송파구,행사/이벤트,25
강동구,행사/이벤트,12
종로구,이/미용/건강,413
중구,이/미용/건강,529
용산구,이/미용/건강,670
성동구,이/미용/건강,726
광진구,이/미용/건강,1354
동대문구,이/미용/건강,966
중랑구,이/미용/건강,1156
성북구,이/미용/건강,1074
강북구,이/미용/건강,843
도봉구,이/미용/건강,783
노원구,이/미용/건강,1256
은평구,이/미용/건강,1422
서대문구,이/미용/건강,857
마포구,이/미용/건강,1304
양천구,이/미용/건강,1184
강서구,이/미용/건강,1693
구로구,이/미용/건강,1105
금천구,이/미용/건강,712
영등포구,이/미용/건강,1032
동작구,이/미용/건강,919
관악구,이/미용/건강,1392
서초구,이/미용/건강,1488
강남구,이/미용/건강,3085
송파구,이/미용/건강,1709
강동구,이/미용/건강,1574
종로구,장례/묘지,9
중구,장례/묘지,9
용산구,장례/묘지,3
성동구,장례/묘지,8
광진구,장례/묘지,11
동대문구,장례/묘지,8
중랑구,장례/묘지,10
성북구,장례/묘지,8
강북구,장례/묘지,3
도봉구,장례/묘지,6
노원구,장례/묘지,7
은평구,장례/묘지,10
서대문구,장례/묘지,3
마포구,장례/묘지,4
양천구,장례/묘지,5
강서구,장례/묘지,9
구로구,장례/묘지,7
금천구,장례/묘지,4
영등포구,장례/묘지,10
동작구,장례/묘지,6
관악구,장례/묘지,3
서초구,장례/묘지,13
강남구,장례/묘지,21
송파구,장례/묘지,7
강동구,장례/묘지,7
종로구,종합소매점,1822
중구,종합소매점,2376
용산구,종합소매점,632
성동구,종합소매점,560
광진구,종합소매점,858
동대문구,종합소매점,989
중랑구,종합소매점,612
성북구,종합소매점,743
강북구,종합소매점,541
도봉구,종합소매점,507
노원구,종합소매점,641
은평구,종합소매점,756
서대문구,종합소매점,585
마포구,종합소매점,746
양천구,종합소매점,557
강서구,종합소매점,973
구로구,종합소매점,693
금천구,종합소매점,541
